terminal
RBPJ
ETV1
TOX
ZBED2
TOX2
CXCL13
TNFSF4
FAM3C
GZMB
CSF1
CCL3
CD70
IFNG
NAMPT
FASLG
IL2RA
CXCR6
CD74
IL2RB
IL2RG
TNFRSF9
LAYN
ENTPD1
HAVCR2
CTLA4
KRT86
TNFRSF18
GEM
TIGIT
DUSP4
